Title,Artist,Description,Publisher,Year
The Morning Mist,Joe Burke & Charlie Lennon,,New Century Music ,2002
Collection ,Stockton’s Wing,,Tara Records,1991
The Sligo Style,Compilation of Sligo musicians,,Sound Records,
In Full Spate,Paddy Glackin & Donal Lunny,,Gael Linn ,1991
The Lonesome Touch ,Martin Hayes & Denis Cahill,,Green Linnet,1997
Draíocht,Michael Rooney & June McCormack,,,2004
"Yeh, that’s all it is ",John Carty,,Shanachie,2001
The Collection,Luke Kelly,,Outlet Recording ,
Chapter Eight,Kilfenora Ceili Band,,,
Lá an Dreoilín,Téada,,Gael Linn ,2004
It Was Mighty!,Reg Hall,The Early Days of Irish music in London,Topic Records,2015
More Irish Songs We Learned at School,John Spillane,,EMI,2009
Sáimhín Só,Aoife Granville,,,
Otherworld,Lúnasa,,Green Linnet,1999
Finest,Sean McGuire,Collection of Sean McGuire recordings,Emerald,
The Mountain Road,Various Artists,Compilation of tunes popular in South Sligo,Coleman Heritage Centre,1999
The Story So Far….,Lúnasa,,Compass Records,2008
From Stage to Stage,Dervish,Celebration of 21 years,Whirling Discs,2010
Shannon’s Lovely Vale,Shannonvale Ceili Band ,,,2013
The Leitrim Equation 3,"Seamus Begley, John Carty, Donal Lunny",,Leitrim Co Co,2013
