Title,Artist,Description,Publisher,Year
The Gloaming 2, The Gloaming , , Real World Records, 2016
Live in Spiddal, Tony Mac Mahon & Steve Cooney, , Raelach Records, 2014
Michael Coleman, , Complete collection of his commercial recordings and comprehensive booklet, Gael Linn , 1992
The Music and Life of John McKenna, John McKenna Society, Complete collection of his commercial recordings and comprehensive booklet, John McKenna Society, 2014
Music of Sligo, Fred Finn & Peter Horan, , , 2008
All the Way Home, Cathy Jordan, , Blix Street Records, 2012
The Open Door, The Coleman Archive Volume 3, Compiled by Gregory Daly, Coleman Heritage Centre, 2012
Spirit , Dervish, , Whirling Discs, 2003
Take the Air, Seán Ryan, , Gael Linn , 1989
Ordinary Man, Christy Moore, , WEA Ireland, 1985
Invocation, Anúna, , , 2002
The Very Best of the Dubliners, The Dubliners, Compilation of 27 tracks, Parlophone Records, 2010
After the Morning , Alan Kelly , Piano accordion player from Roscommon, Blackbox Music , 2009
The Bunch of Keys, Various Artists, Piano accordion music , Comhaltas, 2012
Turning the Tune, Charlie Lennon, , Cló Iar-Connacht, 2007
Number 6, Sean Potts, Tin Whistle music, Na Píobairí Uilleann, 2010
Fiddling without a Bow, Daithí Gormley, Button accordion music, , 2018
Banjo’ista, Theresa O’Grady , Banjo music , , 2018
Bríd Harper, Bríd Harper, Fiddle music , , 
Stone Walls & Street Lights, New Road, , Whirling Discs, 2017
The Dusty Bridge, Fergal Scahill, Fiddle music , , 2008
Around and About, Josephine Keegan, Fiddle & piano, , 2012
Consider the Source , Brian Conway, Fiddle music, Cló Iar-Connacht, 2008
In the Footsteps of … Coleman, Various Artists, Sligo music , Coleman Centre, 2005
Roots of the Banjo Tree, We Banjo 3, , , 2012
The Well Tempered Bow, Liz & Yvonne Kane, Fiddle duet album, , 2002
All Things Considered , Danú, , Shanachie, 2002
The Rocks of Bawn, Colm O’Donnell, , Coleman Heritage Centre, 1998
Born for Sport, Paul O’Shaughnessy & Harry Bradley, , , 
The Fire Aflame, Matt Molloy, Seán Keane, Liam O’Flynn, , Claddagh Records, 1992
New Road , Leonard Barry, , , 2013
The Home Place, Various Artists, The Coleman Archive Volume 2, Coleman Centre, 2005
The Given Note, Liam O’Flynn, Uilleann pipes music, Tara Records, 1995
Bringing It All Back Home, Various Artists, Double CD compilation of the influence of Irish music , Hummingbird Records, 2000
The Cook in the Kitchen, John Brosnan, Accordion music from Kerry, Reedblock Records, 1996
The McDonagh’s of Ballinafad, Larry, Michael Joe & Paddy McDonagh, Traditional Music of Sligo, Comhaltas Ceoltóirí Éireann, 
The Genius of Peter Conlon, Peter Conlon, 78 rpm recordings of melodeon music, Old-time Records, 2012
Skins & Sins, Neill Lyons, , , 
Friends of Note, Aileen Donagher McGowan, Traditional Music on Flute & whistles, , 2017
Amhráin as Árainn agus Conamara, Trease Ní Mhiolláin, Micheál Seoighe, , Gael Linn , 
